fastq_all	690614	number_of_sequencing_pairs
mapped	1239532	number_of_uniquely_mapped_pairs_(MAPQ_>=_30)
not_duplicated	1238006	number_of_pairs_after_duplicate_removal
intra_all	578754	number_of_intrachromosomal_pairs
short_all	309141	number_of_short-range_intrachromosomal_pairs
short_final	278087	number_of_short-range_vip_pairs
long_intra	269613	number_of_long-range_intrachromosomal_pairs
inter_all	39629	number_of_interchromosomal_pairs
trans_ratio	0.03201	trans_read_ratio
long_cis_ratio	0.46585	long_cis_read_ratio
FRiP	-1.00000	FRiP
