fastq_all	601342	number_of_sequencing_pairs
mapped	1064298	number_of_uniquely_mapped_pairs_(MAPQ_>=_30)
not_duplicated	1062826	number_of_pairs_after_duplicate_removal
intra_all	490749	number_of_intrachromosomal_pairs
short_all	238667	number_of_short-range_intrachromosomal_pairs
short_final	214959	number_of_short-range_vip_pairs
long_intra	252082	number_of_long-range_intrachromosomal_pairs
inter_all	40088	number_of_interchromosomal_pairs
trans_ratio	0.03772	trans_read_ratio
long_cis_ratio	0.51367	long_cis_read_ratio
FRiP	-1.00000	FRiP
