fastq_all	567918	number_of_sequencing_pairs
mapped	1016732	number_of_uniquely_mapped_pairs_(MAPQ_>=_30)
not_duplicated	1015348	number_of_pairs_after_duplicate_removal
intra_all	472474	number_of_intrachromosomal_pairs
short_all	250148	number_of_short-range_intrachromosomal_pairs
short_final	224494	number_of_short-range_vip_pairs
long_intra	222326	number_of_long-range_intrachromosomal_pairs
inter_all	34647	number_of_interchromosomal_pairs
trans_ratio	0.03412	trans_read_ratio
long_cis_ratio	0.47056	long_cis_read_ratio
FRiP	-1.00000	FRiP
